time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,1,0,0,0,0,0,0
5,0,17,16,33,2242,5352,7594
8,2,0,0,0,0,0,0
9,1,0,0,0,0,0,0
14,2,0,0,0,0,0,0
16,2,0,0,0,0,0,0
17,3,5,5,10,2148,0,2148
18,1,23,37,60,39,37240,37279
19,1,0,0,0,0,0,0
20,2,0,0,0,0,0,0
22,1,0,0,0,0,0,0
26,4,0,0,0,0,0,0
27,1,0,0,0,0,0,0
29,2,0,0,0,0,0,0
34,1,0,0,0,0,0,0
35,0,10,10,20,2123,171,2294
36,3,9,7,16,39,4324,4363
37,2,20,18,38,1208,7102,8310
38,2,7,7,14,3980,669,4649
39,0,1,1,2,0,169,169
40,5,0,0,0,0,0,0
41,4,0,0,0,0,0,0
42,20,0,0,0,0,0,0
43,12,0,0,0,0,0,0
44,4,0,0,0,0,0,0
45,5,0,0,0,0,0,0
47,5,0,0,0,0,0,0
48,2,20,42,62,2117,37650,39767
49,0,1,1,2,39,0,39
50,4,0,0,0,0,0,0
52,1,0,0,0,0,0,0
53,11,0,0,0,0,0,0
54,5,0,0,0,0,0,0
55,8,0,0,0,0,0,0
56,15,0,0,0,0,0,0
57,3,0,0,0,0,0,0
58,5,0,0,0,0,0,0
59,3,0,0,0,0,0,0
60,1,0,0,0,0,0,0
62,3,0,0,0,0,0,0
64,6,0,0,0,0,0,0
66,0,15,16,31,2242,5420,7662
69,13,0,0,0,0,0,0
70,19,0,0,0,0,0,0
71,7,0,0,0,0,0,0
72,4,0,0,0,0,0,0
73,5,0,0,0,0,0,0
75,4,0,0,0,0,0,0
77,0,4,4,8,2117,0,2117
78,10,14,39,53,39,38146,38185
79,9,0,0,0,0,0,0
80,2,0,0,0,0,0,0
81,2,0,0,0,0,0,0
82,4,0,0,0,0,0,0
83,2,0,0,0,0,0,0
89,1,0,0,0,0,0,0
90,1,0,0,0,0,0,0
91,2,0,0,0,0,0,0
92,1,0,0,0,0,0,0
93,0,7,11,18,1940,4818,6758
96,1,13,13,26,1658,1144,2802
98,0,5,5,10,0,0,0
99,4,5,3,8,224,147,371
100,6,7,8,15,3108,419,3527
101,2,0,0,0,0,0,0
102,4,0,0,0,0,0,0
104,2,0,0,0,0,0,0
106,4,0,0,0,0,0,0
108,0,4,42,46,2117,37555,39672
109,3,13,2,15,39,62,101
110,6,0,0,0,0,0,0
111,14,0,0,0,0,0,0
112,17,0,0,0,0,0,0
113,17,0,0,0,0,0,0
114,13,0,0,0,0,0,0
116,1,0,0,0,0,0,0
117,9,0,0,0,0,0,0
118,9,0,0,0,0,0,0
119,2,0,0,0,0,0,0
120,1,0,0,0,0,0,0
121,2,8,9,17,1884,4188,6072
122,3,33,36,69,8011,7340,15351
123,0,30,33,63,4608,2881,7489
124,1,2,2,4,1374,0,1374
125,4,6,6,12,39,3452,3491
126,1,0,0,0,0,0,0
127,9,8,11,19,1717,4432,6149
128,4,0,0,0,0,0,0
129,1,0,0,0,0,0,0
130,9,3,3,6,1646,0,1646
131,4,3,5,8,39,601,640
132,4,0,0,0,0,0,0
133,5,0,0,0,0,0,0
134,7,7,8,15,1629,1958,3587
135,28,0,0,0,0,0,0
136,6,0,0,0,0,0,0
137,1,6,8,14,1685,783,2468
138,11,14,39,53,1693,36444,38137
139,17,0,0,0,0,0,0
140,15,4,4,8,1549,0,1549
141,5,7,9,16,1581,3941,5522
142,7,25,27,52,3695,3177,6872
143,6,6,7,13,1248,1487,2735
145,4,0,0,0,0,0,0
146,3,8,10,18,1604,3436,5040
148,1,0,0,0,0,0,0
149,1,9,10,19,3225,2574,5799
150,0,18,23,41,2782,7069,9851
151,0,6,7,13,1412,762,2174
152,5,261,906,1167,1784,1222885,1224669
153,0,7,7,14,1420,1572,2992
155,3,0,0,0,0,0,0
157,53,0,0,0,0,0,0
160,0,8,9,17,1636,3267,4903
161,1,12,14,26,5307,3222,8529
162,9,17,21,38,2936,11620,14556
163,23,19,28,47,4084,9858,13942
164,16,11,15,26,2720,6139,8859
165,2,20,24,44,4100,8018,12118
166,2,19,24,43,5393,7744,13137
167,10,13,20,33,2712,6689,9401
168,7,2,3,5,0,1434,1434
169,3,0,0,0,0,0,0
171,49,41,49,90,11235,14434,25669
172,17,7,6,13,1356,1760,3116
173,1,7,8,15,1356,1946,3302
174,2,7,7,14,1356,1865,3221
175,1,9,9,18,1356,3315,4671
176,3,0,0,0,0,0,0
177,2,9,10,19,1579,1844,3423
178,10,13,16,29,2736,3778,6514
179,6,0,0,0,0,0,0
180,2,0,0,0,0,0,0
181,12,3,3,6,0,1506,1506
182,9,23,32,55,5417,10564,15981
183,5,32,34,66,5679,10466,16145
184,3,0,0,0,0,0,0
185,2,7,8,15,1387,1684,3071
186,2,7,8,15,1387,1998,3385
187,3,6,7,13,1356,1682,3038
188,3,4,7,11,1356,1661,3017
189,5,6,7,13,1356,1658,3014
190,2,10,11,21,2961,1931,4892
191,1,7,7,14,39,3344,3383
193,3,2,2,4,1333,0,1333
194,1,21,25,46,2798,8286,11084
195,0,19,24,43,4045,8481,12526
196,1,21,24,45,4068,8584,12652
197,5,18,19,37,2920,6847,9767
198,2,22,26,48,4084,8375,12459
199,3,21,24,45,4029,8296,12325
200,1,20,29,49,5433,8243,13676
201,1,6,9,15,1387,1834,3221
202,0,7,7,14,1356,1926,3282
203,1,7,7,14,1356,1691,3047
204,0,5,6,11,39,2040,2079
205,0,7,8,15,1548,1884,3432
206,3,9,11,20,2792,1863,4655
207,2,4,5,9,39,1765,1804
208,1,6,9,15,1388,3278,4666
210,2,0,0,0,0,0,0
211,0,6,7,13,1380,1815,3195
212,21,8,10,18,1556,3231,4787
213,11,7,7,14,1364,1995,3359
214,4,7,7,14,1364,1912,3276
215,4,6,7,13,1364,1882,3246
216,5,6,7,13,1364,1728,3092
217,0,7,7,14,1364,1712,3076
218,4,11,11,22,2936,1702,4638
219,2,6,7,13,39,3191,3230
222,0,24,24,48,4276,6887,11163
223,3,17,23,40,5355,7783,13138
224,3,16,22,38,2744,9087,11831
225,6,22,25,47,4300,8546,12846
226,3,6,7,13,1364,1630,2994
227,4,5,7,12,1364,1658,3022
228,4,10,12,22,1419,3666,5085
229,0,9,8,17,4038,2832,6870
230,4,24,32,56,2878,10529,13407
231,3,25,31,56,6805,9056,15861
232,1,21,33,54,4395,8880,13275
233,1,28,31,59,7271,7851,15122
234,1,23,27,50,2806,9288,12094
235,1,17,18,35,2744,6834,9578
236,1,27,27,54,6783,8747,15530
237,10,22,29,51,4203,10153,14356
238,1,16,22,38,4069,7329,11398
239,1,16,21,37,4292,5574,9866
240,2,10,14,24,2705,5047,7752
241,1,22,24,46,4124,7409,11533
242,0,17,19,36,4085,5462,9547
243,0,21,30,51,4219,9104,13323
244,0,8,8,16,1395,1863,3258
245,0,7,7,14,1364,1895,3259
246,0,8,8,16,1587,1721,3308
247,0,5,7,12,1364,1825,3189
248,2,6,9,15,1395,2011,3406
249,3,5,7,12,1364,1900,3264
250,1,9,11,20,1436,3237,4673
251,2,0,0,0,0,0,0
252,6,0,0,0,0,0,0
253,1,20,24,44,4380,7266,11646
254,0,20,22,42,4069,6787,10856
255,0,17,19,36,2744,6726,9470
256,0,2,2,4,0,1438,1438
257,0,7,8,15,1420,1816,3236
258,1,5,7,12,1364,1903,3267
259,1,2,0,2,1325,0,1325
260,0,13,16,29,1595,3604,5199
261,3,6,7,13,1364,1936,3300
263,1,7,8,15,4075,1438,5513
264,1,7,14,21,1444,5409,6853
265,0,7,8,15,1395,2016,3411
266,2,6,7,13,1325,1914,3239
267,0,8,9,17,2881,1450,4331
268,0,29,31,60,4163,10445,14608
269,2,17,26,43,4123,6911,11034
270,3,5,8,13,1364,1773,3137
271,0,7,9,16,2705,1860,4565
272,0,22,25,47,2830,8236,11066
273,2,21,25,46,4108,8955,13063
274,1,20,29,49,4300,8720,13020
275,0,22,30,52,5480,8490,13970
276,1,14,18,32,2783,5492,8275
278,1,0,0,0,0,0,0
279,0,52,57,109,8907,42871,51778
280,1,11,19,30,78,3718,3796
282,3,0,0,0,0,0,0
283,1,0,0,0,0,0,0
284,2,0,0,0,0,0,0
286,1,0,0,0,0,0,0
290,2,0,0,0,0,0,0
291,3,0,0,0,0,0,0
293,1,0,0,0,0,0,0
294,2,0,0,0,0,0,0
295,9,0,0,0,0,0,0
296,19,0,0,0,0,0,0
297,9,0,0,0,0,0,0
298,4,0,0,0,0,0,0
299,1,0,0,0,0,0,0
300,9,35,36,71,6706,8804,15510
301,5,16,18,34,2684,2068,4752
303,2,7,8,15,1731,171,1902
304,0,20,20,40,2815,5397,8212
308,1,8,8,16,1628,1726,3354
309,4,14,41,55,1956,37023,38979
310,1,0,0,0,0,0,0
311,4,3,3,6,1477,0,1477
312,2,3,5,8,39,1000,1039
315,2,9,9,18,1660,1705,3365
318,1,3,3,6,1645,0,1645
319,0,4,6,10,39,737,776
320,1,0,0,0,0,0,0
321,1,0,0,0,0,0,0
322,1,8,10,18,1868,4302,6170
323,1,0,0,0,0,0,0
324,3,0,0,0,0,0,0
325,1,8,8,16,1660,761,2421
326,0,3,3,6,1773,0,1773
327,2,18,40,58,39,37375,37414
328,0,3,3,6,1573,0,1573
329,0,3,5,8,39,1785,1824
331,1,0,0,0,0,0,0
332,3,6,8,14,1772,840,2612
333,3,0,0,0,0,0,0
334,1,13,14,27,1690,1883,3573
335,2,6,8,14,1532,788,2320
336,7,0,0,0,0,0,0
338,1,3,3,6,1725,0,1725
339,0,6,6,12,39,3409,3448
342,0,9,11,20,1764,4706,6470
345,2,8,8,16,1812,953,2765
346,0,0,1,1,0,0,0
349,0,6,8,14,1612,1585,3197
350,1,0,0,0,0,0,0
351,1,0,0,0,0,0,0
352,1,6,8,14,1732,900,2632
353,3,0,0,0,0,0,0
354,2,0,0,0,0,0,0
355,0,3,3,6,1677,0,1677
356,0,4,6,10,39,4029,4068
357,2,17,41,58,1724,37401,39125
359,0,7,8,15,1660,832,2492
361,0,2,2,4,0,0,0
362,2,13,12,25,3503,566,4069
363,0,5,5,10,39,1925,1964
364,0,7,8,15,1795,171,1966
365,0,4,5,9,39,726,765
366,2,7,8,15,1636,594,2230
367,0,15,42,57,1843,37248,39091
369,0,7,8,15,1780,1873,3653
371,2,0,0,0,0,0,0
373,0,8,9,17,1732,3411,5143
374,2,0,0,0,0,0,0
375,89,0,0,0,0,0,0
376,0,7,8,15,1628,1667,3295
377,24,36,42,78,1708,36966,38674
378,92,0,0,0,0,0,0
379,10,7,9,16,1796,968,2764
380,4,0,0,0,0,0,0
381,1,0,0,0,0,0,0
383,0,7,8,15,1852,1838,3690
384,72,0,0,0,0,0,0
385,49,0,0,0,0,0,0
386,9,8,9,17,2076,998,3074
387,2,0,0,0,0,0,0
388,8,3,3,6,1773,0,1773
389,130,10,40,50,39,37056,37095
390,11,9,9,18,1748,3920,5668
391,7,0,0,0,0,0,0
392,4,0,0,0,0,0,0
393,2,5,8,13,2012,986,2998
394,1,4,1,5,1516,0,1516
395,1,7,12,19,78,784,862
396,3,3,3,6,1709,0,1709
397,3,4,5,9,39,1917,1956
398,1,0,0,0,0,0,0
399,1,0,0,0,0,0,0
400,3,8,9,17,2003,803,2806
402,2,0,0,0,0,0,0
403,0,8,9,17,1940,4202,6142
404,1,0,0,0,0,0,0
406,1,0,0,0,0,0,0
407,0,11,10,21,1979,3471,5450
408,1,0,0,0,0,0,0
409,2,0,0,0,0,0,0
