time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
203,0,11,13,24,3136,660,3796
204,1,4,5,9,39,2071,2110
205,2,3,3,6,1549,0,1549
206,0,8,8,16,1451,2604,4055
207,0,26,42,68,3264,35019,38283
208,1,4,5,9,39,2800,2839
209,0,3,3,6,1709,0,1709
210,0,11,13,24,1403,3794,5197
211,0,3,3,6,1589,0,1589
212,0,4,7,11,39,4606,4645
213,0,8,10,18,3009,481,3490
214,2,6,8,14,39,6774,6813
215,0,3,3,6,1589,0,1589
216,1,10,10,20,39,8777,8816
217,0,9,11,20,3105,631,3736
218,1,5,5,10,39,2464,2503
219,0,3,3,6,1701,0,1701
220,0,10,11,21,1403,3277,4680
221,0,3,4,7,1549,0,1549
222,2,7,7,14,39,3230,3269
223,2,3,3,6,1741,0,1741
224,1,12,13,25,1403,4006,5409
225,0,4,4,8,2967,0,2967
226,3,5,6,11,39,3637,3676
227,1,6,6,12,3017,0,3017
228,3,6,10,16,39,4632,4671
229,1,4,4,8,1620,0,1620
230,1,8,10,18,39,7866,7905
231,1,8,11,19,3145,584,3729
232,0,6,6,12,39,2198,2237
233,2,3,3,6,1573,0,1573
234,0,8,8,16,1364,2426,3790
235,2,22,22,44,3437,4004,7441
236,0,0,1,1,0,0,0
237,1,24,32,56,3345,33734,37079
238,0,9,14,23,1403,4400,5803
239,7,6,6,12,3154,0,3154
240,0,13,13,26,78,8289,8367
241,1,8,10,18,2953,675,3628
242,0,11,10,21,39,8070,8109
243,2,3,3,6,1549,0,1549
244,2,9,7,16,1556,2806,4362
245,1,6,7,13,1588,589,2177
246,0,8,12,20,1457,3161,4618
247,2,3,3,6,1605,0,1605
248,1,9,9,18,1364,3358,4722
249,7,8,9,17,2169,596,2765
250,1,362,1587,1949,608,2233878,2234486
251,1,3,3,6,1781,0,1781
252,0,9,13,22,1403,2586,3989
253,0,20,37,57,3209,34368,37577
254,2,9,23,32,1627,15797,17424
255,2,5,7,12,1364,668,2032
256,2,18,18,36,16810,842,17652
259,2,6,8,14,1612,667,2279
261,1,0,0,0,0,0,0
263,0,26,42,68,3000,35316,38316
264,3,0,0,0,0,0,0
265,4,0,0,0,0,0,0
267,0,8,9,17,1612,723,2335
268,2,0,0,0,0,0,0
271,0,5,7,12,1364,751,2115
273,1,0,0,0,0,0,0
274,0,6,8,14,1612,669,2281
275,1,0,0,0,0,0,0
277,2,2,2,4,1325,0,1325
278,1,4,5,9,39,771,810
281,0,7,9,16,1731,726,2457
283,1,0,0,0,0,0,0
284,0,5,7,12,1364,499,1863
285,2,0,0,0,0,0,0
286,2,0,0,0,0,0,0
287,0,3,3,6,1845,0,1845
288,2,21,32,53,1364,34974,36338
289,2,0,0,0,0,0,0
291,1,9,9,18,2625,1169,3794
292,0,3,5,8,39,648,687
293,1,0,0,0,0,0,0
295,0,13,14,27,2004,6607,8611
296,4,6,5,11,561,147,708
297,0,6,6,12,2974,419,3393
298,2,25,35,60,1380,34517,35897
299,0,3,5,8,39,725,764
300,3,0,0,0,0,0,0
301,54,0,0,0,0,0,0
302,1,8,9,17,1851,1683,3534
303,1,2,2,4,1325,0,1325
304,1,14,21,35,3326,2888,6214
305,1,6,7,13,1476,792,2268
306,2,3,3,6,1469,62,1531
307,4,27,36,63,3032,31009,34041
308,4,15,17,32,2776,12555,15331
309,1,14,20,34,1507,13317,14824
311,3,0,0,0,0,0,0
312,3,9,11,20,1756,5603,7359
314,1,0,0,0,0,0,0
315,0,3,3,6,1693,0,1693
316,1,5,5,10,39,823,862
318,1,0,0,0,0,0,0
319,0,7,8,15,1716,1564,3280
320,3,0,0,0,0,0,0
321,0,7,8,15,1604,584,2188
322,0,5,6,11,1444,748,2192
323,0,0,1,1,0,0,0
325,1,0,0,0,0,0,0
326,0,3,3,6,1725,0,1725
327,1,7,12,19,1451,2764,4215
328,2,0,0,0,0,0,0
329,2,0,0,0,0,0,0
330,0,9,9,18,1844,4914,6758
332,2,0,0,0,0,0,0
333,1,3,3,6,1541,0,1541
334,0,5,5,10,39,1548,1587
336,2,0,0,0,0,0,0
337,0,5,8,13,1860,981,2841
340,0,4,4,8,1572,0,1572
341,2,3,5,8,39,1502,1541
344,1,7,8,15,1852,862,2714
345,0,7,9,16,1845,728,2573
348,2,9,10,19,1643,5640,7283
349,2,0,0,0,0,0,0
350,2,6,8,14,1676,1073,2749
351,0,6,9,15,1563,750,2313
353,3,0,0,0,0,0,0
354,1,0,0,0,0,0,0
355,0,7,8,15,1628,1808,3436
357,0,2,2,4,0,0,0
358,2,37,38,75,4614,14303,18917
359,0,2,3,5,1209,169,1378
361,0,6,8,14,1636,1889,3525
362,5,5,7,12,1380,563,1943
363,4,0,0,0,0,0,0
365,0,11,10,21,1764,4942,6706
368,2,0,0,0,0,0,0
369,3,15,15,30,2976,2269,5245
370,4,0,0,0,0,0,0
371,3,0,0,0,0,0,0
372,0,10,11,21,3152,736,3888
373,0,4,6,10,39,928,967
374,4,0,0,0,0,0,0
375,0,3,3,6,1613,0,1613
376,1,5,6,11,39,1684,1723
377,1,0,0,0,0,0,0
378,1,0,0,0,0,0,0
379,1,7,8,15,1860,1084,2944
380,1,0,0,0,0,0,0
381,1,0,0,0,0,0,0
383,3,12,14,26,3145,5563,8708
384,0,3,5,8,39,565,604
386,0,2,2,4,1429,0,1429
387,1,2,5,7,39,669,708
390,0,16,16,32,4700,2995,7695
391,2,6,8,14,39,1902,1941
392,2,0,0,0,0,0,0
393,0,5,7,12,2886,513,3399
394,0,0,1,1,0,0,0
395,3,0,0,0,0,0,0
397,0,6,8,14,1716,1532,3248
400,0,3,3,6,1693,0,1693
401,47,6,7,13,39,5028,5067
402,2,0,0,0,0,0,0
403,1,0,0,0,0,0,0
404,2,7,8,15,1716,1539,3255
406,9,0,0,0,0,0,0
407,8,7,8,15,1804,906,2710
409,4,0,0,0,0,0,0
410,0,3,0,3,1621,0,1621
411,2,4,8,12,39,1780,1819
412,2,0,0,0,0,0,0
413,6,22,33,55,3326,34361,37687
414,0,3,3,6,1477,0,1477
415,0,3,5,8,39,776,815
416,6,58,71,129,3759,76141,79900
417,0,51,134,185,39,184811,184850
418,173,10,11,21,1524,1313,2837
419,1,3,2,5,0,0,0
420,0,11,10,21,604,3801,4405
421,2,13,14,27,3197,6170,9367
423,4,3,3,6,1741,0,1741
424,0,18,28,46,1468,35539,37007
425,2,4,8,12,39,755,794
427,2,0,0,0,0,0,0
428,1,6,8,14,1732,711,2443
431,0,3,0,3,1589,0,1589
432,2,7,10,17,39,5331,5370
433,2,0,0,0,0,0,0
434,2,0,0,0,0,0,0
435,0,23,37,60,3520,34473,37993
437,3,0,0,0,0,0,0
439,1,7,8,15,1676,1517,3193
440,1,0,0,0,0,0,0
442,0,7,8,15,1780,1025,2805
443,2,0,0,0,0,0,0
444,1,0,0,0,0,0,0
446,3,16,21,37,3302,2291,5593
447,1,0,0,0,0,0,0
449,0,7,10,17,1508,4686,6194
451,1,0,0,0,0,0,0
452,1,0,0,0,0,0,0
453,1,3,3,6,1637,0,1637
454,4,4,5,9,39,1645,1684
455,3,0,0,0,0,0,0
456,2,0,0,0,0,0,0
457,0,3,3,6,1693,0,1693
458,3,3,5,8,39,911,950
462,2,6,8,14,1820,1503,3323
465,1,1,0,1,58,0,58
466,0,22,40,62,4925,39387,44312
467,27,6,2,8,39,132,171
468,14,0,0,0,0,0,0
470,1,0,0,0,0,0,0
471,0,8,9,17,1947,1908,3855
472,4,0,0,0,0,0,0
aggregate,829,14182,4943,19125,488348,3938285,4426633
average,1.75636,30.0466,10.4725,40.5191,1034.64,8343.82,9378.46
